Time (s),Filtered BBox Area
0.0021114349365234375,39683.259761528774
0.1908252239227295,39683.259761528774
0.3228275775909424,39995.16398281018
0.41808485984802246,39995.16398281018
0.535287618637085,41530.64207224249
0.6280741691589355,41530.64207224249
0.7074944972991943,41965.35527117148
0.8162040710449219,41965.35527117148
0.9360682964324951,41965.35527117148
1.0482923984527588,41965.35527117148
1.162705898284912,40946.66619549414
1.2559247016906738,40946.66619549414
1.3756487369537354,40810.36119582095
1.483957052230835,40810.36119582095
1.5812814235687256,40644.85265787264
1.6846411228179932,40644.85265787264
1.7994403839111328,40394.38091796908
1.9033169746398926,40394.38091796908
2.0126211643218994,39810.25509714708
2.1345913410186768,39810.25509714708
2.2303261756896973,39693.029163742234
2.3314571380615234,39693.029163742234
2.4476094245910645,37837.657029085465
2.5560688972473145,37837.657029085465
2.6730167865753174,36832.263093164795
2.759929656982422,36832.263093164795
2.866633415222168,36166.95313009494
2.9720122814178467,36166.95313009494
3.071117877960205,36410.873511768135
3.187178373336792,36410.873511768135
3.315173387527466,36517.52437329134
3.4376394748687744,36517.52437329134
3.5533807277679443,36182.0622912447
3.654940605163574,36182.0622912447
3.767305374145508,35250.77410243554
3.854710817337036,35250.77410243554
3.964674472808838,35364.81204992803
4.07691216468811,35364.81204992803
4.195044994354248,35502.59639460351
4.300522565841675,35502.59639460351
4.406901836395264,35489.33123212382
4.511740684509277,35489.33123212382
4.634966611862183,35162.588593280314
4.76102089881897,35162.588593280314
4.853713274002075,34645.59512712508
4.951103687286377,34645.59512712508
5.029949903488159,34688.32162545882
5.1267194747924805,34688.32162545882
5.242708444595337,33774.3608601904
5.317375183105469,33774.3608601904
5.402223348617554,33419.94192367331
5.491427898406982,33419.94192367331
5.5581653118133545,33296.8342809475
5.66157341003418,33296.8342809475
5.760360956192017,33701.69323222162
5.866393804550171,33701.69323222162
5.983386754989624,32473.701366451103
6.109257459640503,32473.701366451103
6.222022294998169,31405.44597974317
6.314136981964111,31405.44597974317
6.410094499588013,31508.382249127004
6.511498689651489,31508.382249127004
6.623131513595581,32275.88748465744
6.728353261947632,32275.88748465744
6.83399772644043,33119.16428059307
6.934027910232544,32505.434808009537
7.054189682006836,32505.434808009537
7.168174743652344,32889.43948879824
7.259957551956177,32889.43948879824
7.360642910003662,32969.662946020675
7.477842569351196,32969.662946020675
7.59536337852478,32920.418227150476
7.716562747955322,32920.418227150476
7.833227634429932,32401.127040830626
7.952461242675781,32401.127040830626
8.01560640335083,33163.76455661226
8.081704378128052,33163.76455661226
8.17432713508606,33163.76455661226
8.264804601669312,33985.14245342855
8.360529899597168,33985.14245342855
8.456969976425171,33602.66719593499
8.562572479248047,33602.66719593499
8.653287887573242,0
8.73227572441101,0
8.820628643035889,32957.262115682104
