env_step,error_vertical,error_forward,error_lateral
1,0.5283633230713954,-0.23605477220304194,-0.035585123697916665
2,0.5283633230713954,-0.23605477220304194,-0.035585123697916665
3,0.4708904961397911,-0.20920296517321568,-0.0307525634765625
4,0.45183152275754757,-0.20920296517321568,-0.036582234700520834
5,0.5360965204478355,-0.17938551686522586,-0.036582234700520834
6,0.569058393688182,-0.17938551686522586,-0.036582234700520834
7,0.3915073239952065,-0.17938551686522586,-0.028918253580729168
8,0.4269266603355752,-0.16938504075048288,-0.028918253580729168
9,0.4817723750261366,-0.16938504075048288,-0.028918253580729168
10,0.5260842148008094,-0.16938504075048288,-0.028918253580729168
11,0.34567579393848663,-0.11143459322619997,-0.00916168212890625
12,0.339612421094411,-0.11143459322619997,-0.00916168212890625
13,0.20057912010313636,-0.11143459322619997,0.008609822591145833
14,0.1741034424639912,-0.08922737262786562,0.008609822591145833
15,0.08829486442238219,-0.08922737262786562,0.04132110595703125
16,0.048611816054402686,-0.06721125366498093,0.04132110595703125
17,0.021250264133652042,-0.06721125366498093,0.04132110595703125
18,-0.005929803169787972,-0.030323727980980486,0.0421246337890625
19,-0.03385864300560837,-0.030323727980980486,0.0421246337890625
20,-0.056893605066662974,-0.030323727980980486,0.0421246337890625
21,-0.10276759131640996,-0.030323727980980486,0.04435648600260417
22,-0.14965486183360338,0.023536803862440836,0.04435648600260417
23,-0.17209400872926311,0.06039380285245821,0.015597941080729167
24,-0.2124353674045385,0.06039380285245821,0.015597941080729167
25,-0.15356301614053997,0.09070210520959177,-0.0016709391276041666
26,-0.17599429111020454,0.09070210520959177,-0.0016709391276041666
27,-0.19312497064320425,0.09070210520959177,-0.0016709391276041666
28,-0.11837215285898721,0.09070210520959177,-0.0325042724609375
29,-0.14422544198933526,0.180378134343804,-0.0325042724609375
30,-0.03698581796801111,0.16053192097990698,-0.043146158854166665
31,-0.04260678081610384,0.16053192097990698,-0.043146158854166665
32,0.026128232153935442,0.16053192097990698,-0.037577921549479164
33,0.021849057096736294,0.2124120289275071,-0.037577921549479164
34,0.10299425369490693,0.2124120289275071,-0.034732666015625
35,0.12854441343061862,0.23487031354446897,-0.034732666015625
36,0.16214923684292104,0.23487031354446897,-0.0022686767578125
37,0.20755708235052459,0.2613766929844381,-0.0022686767578125
38,0.22639825641614483,0.2613766929844381,-0.0022686767578125
39,0.13911042114596325,0.2613766929844381,0.011411946614583333
40,0.1515772700816898,0.27357363650589983,0.011411946614583333
41,0.19524922568748368,0.27357363650589983,0.011411946614583333
42,0.2238460272852628,0.27357363650589983,0.011411946614583333
43,0.11301148545318476,0.27357363650589983,0.038452555338541666
44,0.12100954481244033,0.2794972327766778,0.038452555338541666
45,0.005182810364297904,0.2794972327766778,0.031881103515625
46,0.0010843481943586235,0.27375227110740075,0.031881103515625
47,-0.08240981153104053,0.27375227110740075,0.02796630859375
48,-0.09962061566766695,0.2766177855298404,0.02796630859375
49,-0.12882740447262891,0.2766177855298404,0.02796630859375
50,-0.20385230610562297,0.2926302318515517,0.012867228190104166
51,-0.24692731944738414,0.2926302318515517,0.012867228190104166
52,-0.242167912784462,0.2730380563528134,-0.011780497233072916
53,-0.26990820678568134,0.2730380563528134,-0.011780497233072916
54,-0.21849832735537814,0.2730380563528134,-0.021816813151041666
55,-0.23001866193364265,0.28438821011675297,-0.021816813151041666
56,-0.23128193937523692,0.28438821011675297,-0.021816813151041666
57,-0.1440837647614594,0.28438821011675297,-0.043175455729166666
58,-0.1285304276000043,0.28259017271500153,-0.043175455729166666
59,-0.039101612710734465,0.27739026322991434,-0.0334063720703125
60,-0.01732624622119199,0.27739026322991434,-0.0334063720703125
61,0.05064192969926871,0.27739026322991434,-0.02755167643229167
62,0.08275107966594981,0.2956254390060027,-0.02755167643229167
63,0.12415268993285225,0.2956254390060027,-0.0015018717447916666
64,0.16443134055728537,0.27432426476016225,-0.0015018717447916666
65,0.19967554231123702,0.27432426476016225,-0.0015018717447916666
66,0.1886118759897875,0.2733593462089168,0.030883382161458334
67,0.227587174393555,0.2733593462089168,0.030883382161458334
68,0.1293865557530241,0.23978917906184072,0.0369403076171875
69,0.1489646862617053,0.23978917906184072,0.0369403076171875
70,0.03476528616519334,0.2378871901004893,0.0523297119140625
71,0.04167188878881159,0.2378871901004893,0.0523297119140625
72,-0.0699431212289746,0.2378871901004893,0.031094970703125
73,-0.07561516598042925,0.21369955695070497,0.031094970703125
74,-0.1791388393752876,0.21369955695070497,0.022498779296875
75,-0.21158051583359344,0.208407130725347,0.022498779296875
76,-0.24513665615097627,0.208407130725347,0.022498779296875
77,-0.26746385646132353,0.19530964922994976,-0.014011433919270833
78,-0.3119860444686612,0.19530964922994976,-0.014011433919270833
79,-0.267413032414949,0.19530964922994976,-0.03087890625
80,-0.28349940354826014,0.16627848812856016,-0.03087890625
81,-0.2878665679107681,0.16627848812856016,-0.03087890625
82,-0.17760155666291383,0.16627848812856016,-0.041161905924479165
83,-0.16978440995309155,0.16865337404872482,-0.041161905924479165
84,-0.0717735699967588,0.16865337404872482,-0.04351420084635416
85,-0.044622395234858885,0.1393942715824863,-0.04351420084635416
86,0.03282201417095255,0.1393942715824863,-0.017923990885416668
87,0.04688890465888653,0.13099568010877016,-0.017923990885416668
88,0.05928741608221057,0.13099568010877016,-0.017923990885416668
89,0.15887265276657694,0.13099568010877016,0.004681599934895833
90,0.19475320198240587,0.1017959825271808,0.004681599934895833
91,0.30966938019944507,0.1017959825271808,0.033180643717447916
92,0.3549197189145928,0.08815679509737118,0.033180643717447916
93,0.3627406285547816,0.08815679509737118,0.033180643717447916
94,0.3678416030786171,0.08070734455915929,0.04281697591145833
95,0.39917899221552233,0.08070734455915929,0.04281697591145833
96,0.44286609332795357,0.08070734455915929,0.04281697591145833
97,0.3918137100014551,0.08070734455915929,0.06733421325683593
98,0.4108671019415855,0.07078696085203329,0.06733421325683593
99,0.41391998551303444,0.07078696085203329,0.06733421325683593
100,0.3110966646247183,0.06495063426618564,0.05815452575683594
101,0.2977892229846109,0.06495063426618564,0.05815452575683594
102,0.22280150828208642,0.06495063426618564,0.034443562825520836
103,0.20071389463437475,0.02380859706839611,0.034443562825520836
104,0.12313160247791755,0.02380859706839611,0.044270807902018226
105,0.10768705642854175,-0.005778464025361529,0.044270807902018226
106,0.04439418369448972,-0.005778464025361529,0.030225118001302082
107,0.04224487976768788,-0.04616199486022721,0.030225118001302082
108,0.041194674169179935,-0.04616199486022721,0.030225118001302082
109,-0.04741219672641136,-0.09164822419629526,0.04009552001953125
110,-0.05668474739835261,-0.09164822419629526,0.04009552001953125
111,-0.11539031981513423,-0.1560871731786615,0.060460840861002604
112,-0.12667505149071048,-0.1560871731786615,0.060460840861002604
113,-0.15748726779417435,-0.1693925830854246,0.07216461181640625
114,-0.15291343378266387,-0.1693925830854246,0.07216461181640625
115,-0.1312757740544879,-0.1693925830854246,0.09922543843587239
116,-0.10699069602819124,-0.21890412070188803,0.09922543843587239
117,-0.07173277584695095,-0.21890412070188803,0.1112768809000651
118,-0.052892019806470854,-0.3098010799081714,0.1112768809000651
119,0.0009827747282241976,-0.3098010799081714,0.11220957438151041
120,0.011874042326999595,-0.34879828495277954,0.11220957438151041
121,0.020304099265972583,-0.34879828495277954,0.11220957438151041
122,0.06905790077555934,-0.3927441063779711,0.10516062418619791
123,0.07055064554887222,-0.3927441063779711,0.10516062418619791
124,0.06947145615839809,-0.3927441063779711,0.10516062418619791
125,0.12095147668751367,-0.4259245154445295,0.08464617411295573
126,0.15078417682727996,-0.4259245154445295,0.08097442626953125
127,0.13032635961693692,-0.46403277523320274,0.08097442626953125
128,0.11872733221264758,-0.46403277523320274,0.08097442626953125
129,0.11495461460268926,-0.5010923970221332,0.030904769897460938
130,0.10659077126904196,-0.5010923970221332,0.030904769897460938
131,0.06554985878102808,-0.535191003603331,0.0271612548828125
132,0.06494033274073079,-0.535191003603331,0.0271612548828125
133,-0.007738306802785752,-0.535191003603331,0.034637069702148436
134,-0.00232985754925923,-0.5538615467811951,0.034637069702148436
