env_step,error_vertical,error_forward,error_lateral
1,0.5040980084978831,-0.23978759888971823,-0.04363840738932292
2,0.5040980084978831,-0.23978759888971823,-0.04363840738932292
3,0.4438091150354604,-0.2249594494796494,-0.018972574869791668
4,0.4477672031760065,-0.2249594494796494,-0.018972574869791668
5,0.4325236684413693,-0.20214306087307343,-0.039344075520833334
6,0.4857897711234919,-0.20214306087307343,-0.039344075520833334
7,0.40082550663405025,-0.20214306087307343,-0.036927897135416665
8,0.45454148205473077,-0.17364107391286043,-0.036927897135416665
9,0.30928220806152185,-0.17364107391286043,-0.0542108154296875
10,0.3274455454703539,-0.14064879676025788,-0.0542108154296875
11,0.2078332835612832,-0.14064879676025788,-0.0836090087890625
12,0.20147413412184606,-0.10833856840876299,-0.0836090087890625
13,0.19385772891718298,-0.10833856840876299,-0.0836090087890625
14,0.11191319733455343,-0.10833856840876299,-0.07248453776041666
15,0.09211237529044966,-0.06661763278044619,-0.07248453776041666
16,0.05498760523543382,-0.06661763278044619,-0.07248453776041666
17,-0.016976871974683956,-0.02062461838190921,-0.095792236328125
18,-0.0596492901804347,-0.02062461838190921,-0.095792236328125
19,-0.08582651494731895,0.027834518475778003,-0.08293253580729167
20,-0.14783814639454917,0.027834518475778003,-0.08293253580729167
21,-0.15526303584109918,0.027834518475778003,-0.06948262532552084
22,-0.2225877409989529,0.05186472258168284,-0.06948262532552084
23,-0.17671800046077335,0.05186472258168284,-0.062236124674479164
24,-0.23863497463258757,0.09538746504556395,-0.062236124674479164
25,-0.14235108082673845,0.09538746504556395,-0.044659016927083336
26,-0.17855963213726303,0.12450619008012764,-0.044659016927083336
27,-0.2002705875813877,0.12450619008012764,-0.044659016927083336
28,-0.1013395564383264,0.16509484138843922,-0.04896402994791667
29,-0.11346183491110592,0.16509484138843922,-0.04896402994791667
30,0.004168291552554941,0.19235357087080684,-0.032393391927083334
31,0.007842877061613908,0.19235357087080684,-0.032393391927083334
32,0.09080893364558239,0.19235357087080684,-0.05507130940755208
33,0.1173591668263386,0.2128945117815786,-0.05507130940755208
34,0.1701950862637047,0.2128945117815786,-0.057271321614583336
35,0.2074341680798807,0.22230341688944577,-0.057271321614583336
36,0.17620344261860935,0.22230341688944577,-0.06923573811848958
37,0.21157122592991712,0.23637678619283098,-0.06923573811848958
38,0.23290644767049373,0.23637678619283098,-0.06923573811848958
39,0.1447329494147246,0.2302084655035237,-0.07321573893229166
40,0.15543091104602227,0.2302084655035237,-0.07321573893229166
41,0.07918106873059443,0.2302084655035237,-0.07896219889322917
42,0.0853570616302379,0.2114482850960293,-0.07896219889322917
43,0.0898450696701731,0.2114482850960293,-0.07896219889322917
44,0.022138000724192086,0.2114482850960293,-0.08491312662760417
45,0.024663723403291437,0.2114482850960293,-0.08491312662760417
46,-0.04090025896206685,0.22607770359278367,-0.07111002604166666
47,-0.03641668860263441,0.22607770359278367,-0.07111002604166666
48,-0.09625828616129321,0.29967982428249984,-0.070341796875
49,-0.09288567836470642,0.29967982428249984,-0.070341796875
50,-0.13885098486471728,0.29967982428249984,-0.058611551920572914
51,-0.14488276070310258,0.33491262629557417,-0.058611551920572914
52,-0.16048277711991923,0.33491262629557417,-0.052000732421875
53,-0.1621518328902437,0.29246427062063995,-0.052000732421875
54,-0.13274542456632915,0.29246427062063995,-0.043401387532552085
55,-0.1302028364438156,0.25813164951976986,-0.043401387532552085
56,-0.13551250626925995,0.25813164951976986,-0.043401387532552085
57,-0.13869077013125564,0.25813164951976986,-0.043401387532552085
58,-0.1375713357987298,0.25813164951976986,-0.043401387532552085
59,-0.07254827547025255,0.23390155074173324,-0.04592529296875
60,-0.06321777927790471,0.23390155074173324,-0.04592529296875
61,0.0009077246216824835,0.2014893179895565,-0.05607584635416667
62,0.00888788285360137,0.2014893179895565,-0.05607584635416667
63,0.056189499027843655,0.16481409577365835,-0.06435506184895834
64,0.05831800932480522,0.16481409577365835,-0.06435506184895834
65,0.07390818991476071,0.16481409577365835,-0.06435506184895834
66,0.08955312883957689,0.16481409577365835,-0.06435506184895834
67,0.11829856361081606,0.16481409577365835,-0.08069651285807292
68,0.13388224967232773,0.12829380583033112,-0.08069651285807292
69,0.09764491457894797,0.12829380583033112,-0.0773760986328125
70,0.0978973546223577,-0.03158230814891527,-0.0773760986328125
71,0.10555596865028728,-0.03158230814891527,-0.0773760986328125
72,0.05592901580168585,-0.09048418590841001,-0.082818603515625
73,0.10991564879721559,-0.09048418590841001,-0.082818603515625
74,0.12924143131617144,-0.11535221980602195,-0.059994710286458336
75,0.21411674536437286,-0.11535221980602195,-0.059994710286458336
76,0.10356160041714013,-0.11535221980602195,-0.07124338785807292
77,0.15896632346641035,-0.15208292860115358,-0.07124338785807292
78,-0.022147315439057583,-0.15208292860115358,-0.05419952392578125
79,-0.00865578625939897,-0.18584139527384425,-0.05419952392578125
80,-0.13847949634579018,-0.18584139527384425,-0.0438916015625
81,-0.14916665541282478,-0.2240626071724321,-0.0438916015625
82,-0.1681359661296187,-0.2240626071724321,-0.0438916015625
83,-0.16795141725564255,-0.26552319026851734,-0.05783610026041667
84,-0.19770307953949523,-0.26552319026851734,-0.05783610026041667
85,-0.06926325602784174,-0.3009591999854968,-0.024690958658854168
86,-0.08998663004354406,-0.3009591999854968,-0.024690958658854168
87,0.06439995158776589,-0.3009591999854968,-0.0374688720703125
88,0.04253551045667479,-0.33410302315593454,-0.0374688720703125
89,0.19417943967186765,-0.33410302315593454,-0.032217305501302085
90,0.16744284057747497,-0.3700430700565023,-0.032217305501302085
91,0.24091912855092415,-0.3700430700565023,0.014561360677083333
92,0.21317342356718982,-0.4022807732083784,0.014561360677083333
