env_step,error_vertical,error_forward,error_lateral
1,0.5840261595573416,-0.23359106539443641,-0.047262166341145835
2,0.5840261595573416,-0.23359106539443641,-0.047262166341145835
3,0.532076817817746,-0.2231638697271736,-0.04310150146484375
4,0.468665631526396,-0.2231638697271736,-0.04830718994140625
5,0.5187883978323492,-0.21179778306859354,-0.04830718994140625
6,0.43001465441994774,-0.21179778306859354,-0.03681070963541667
7,0.43255689852507095,-0.20418193914667393,-0.03681070963541667
8,0.47412166559267116,-0.20418193914667393,-0.03681070963541667
9,0.5806822761739386,-0.20418193914667393,-0.03681070963541667
10,0.645092134806302,-0.20418193914667393,-0.03681070963541667
11,0.45336436790182205,-0.16219968825971298,-0.0209527587890625
12,0.4695901860726644,-0.16219968825971298,-0.0209527587890625
13,0.2939153948475957,-0.1282497838931147,-0.0005663045247395834
14,0.2603580450398005,-0.1282497838931147,-0.0005663045247395834
15,0.16737186579677024,-0.08923636179024386,0.03044403076171875
16,0.11136533730381121,-0.08923636179024386,0.03044403076171875
17,0.07125667467811049,-0.08923636179024386,0.04027374267578125
18,0.0320497794191386,-0.05065664013069693,0.04027374267578125
19,-0.013522849422304277,-0.05065664013069693,0.04027374267578125
20,-0.021316505522829994,-0.016502743828674893,0.041530965169270836
21,-0.05336230429862897,-0.016502743828674893,0.041530965169270836
22,-0.07856959638095765,0.02804007979772738,0.03445963541666667
23,-0.10586737434999627,0.02804007979772738,0.03445963541666667
24,-0.11136787055623058,0.11430916382906431,0.028478495279947915
25,-0.1492756509975386,0.11430916382906431,0.028478495279947915
26,-0.1492756509975386,0.11430916382906431,0.028478495279947915
27,-0.07588872926184824,0.11430916382906431,0.010388387044270834
28,-0.123637377981969,0.15746213796462927,0.010388387044270834
29,-0.20786925812232918,0.15746213796462927,0.010388387044270834
30,-0.1125281408093138,0.15746213796462927,0.00018941243489583334
31,-0.20201189888891782,0.15746213796462927,0.00018941243489583334
32,-0.2624837251157658,0.15746213796462927,0.00018941243489583334
33,-0.06304590391895751,0.18022624948478327,-0.005937906901041666
34,-0.06304590391895751,0.18022624948478327,-0.005937906901041666
35,-0.06965935186829658,0.18022624948478327,-0.005937906901041666
36,-0.08909306230886153,0.18022624948478327,-0.005937906901041666
37,0.07698662860988698,0.18022624948478327,-0.014661865234375
38,0.09449177044336342,0.20253111389011624,-0.014661865234375
39,0.12357229945347635,0.20253111389011624,-0.014661865234375
40,0.22868269180791814,0.20253111389011624,-0.010439554850260416
41,0.2812618706941327,0.22805677288827764,-0.010439554850260416
42,0.2953452956816445,0.22805677288827764,-0.007301839192708334
43,0.34210558298376725,0.22805677288827764,-0.007301839192708334
44,0.24276594140550467,0.22805677288827764,0.007791239420572917
45,0.2758810210806743,0.24430818554859424,0.007791239420572917
46,0.2870685302532231,0.24430818554859424,0.007791239420572917
47,0.14467905507044868,0.2558049061713359,0.00946044921875
48,0.13914566534029277,0.2558049061713359,0.00946044921875
49,0.0416034668788348,0.2558049061713359,0.024585062662760417
50,0.02735184971133863,0.261201771022342,0.024585062662760417
51,0.018469024796355996,0.261201771022342,0.024585062662760417
52,-0.04544200118957393,0.261201771022342,0.026622517903645834
53,-0.04531169805541956,0.2561515948717572,0.026622517903645834
54,-0.04531169805541956,0.2561515948717572,0.026622517903645834
55,-0.05193047360730422,0.2561515948717572,0.026622517903645834
56,-0.1119270974168099,0.2561515948717572,0.013605244954427083
57,-0.11421086339834928,0.25806206050553215,0.013605244954427083
58,-0.11478675409901107,0.25806206050553215,0.013605244954427083
59,-0.08344023682009104,0.2682395683761776,0.0271728515625
60,-0.08276163656222486,0.2682395683761776,0.0271728515625
61,0.03047988212781679,0.2682395683761776,0.034504903157552086
62,0.03205893221887024,0.27159440998261286,0.034504903157552086
63,0.1735289785820633,0.26237474436454944,0.04869852701822917
64,0.18145184781666157,0.26237474436454944,0.04869852701822917
65,0.35459125775572303,0.26237474436454944,0.07736582438151042
66,0.379166342193111,0.2677088045736229,0.07736582438151042
67,0.46221332891160166,0.2677088045736229,0.0916015370686849
68,0.47657607567626964,0.23755120417369535,0.0916015370686849
69,0.49937127063163694,0.23755120417369535,0.0916015370686849
70,0.46848769687487335,0.1998515743008562,0.12970802307128906
71,0.47823181527573655,0.1998515743008562,0.12970802307128906
72,0.4503274863258148,0.1998515743008562,0.1412543741861979
73,0.43426353849929317,0.10219085396976935,0.1412543741861979
74,0.4452199114349398,0.10219085396976935,0.1412543741861979
75,0.40400693001941307,0.049882332189233214,0.17423024495442707
76,0.432873773240321,0.049882332189233214,0.17423024495442707
77,0.399517178924198,0.049882332189233214,0.1634154256184896
78,0.46169844679553823,0.005127225003413116,0.1634154256184896
79,0.5174907255653197,0.005127225003413116,0.1634154256184896
80,0.3880163075936524,-0.04819416177279279,0.18295094807942708
81,0.24553076016853193,-0.04819416177279279,0.17341512044270832
82,0.2803652812632892,-0.09004468342780103,0.17341512044270832
83,0.3115075641258506,-0.09004468342780103,0.17341512044270832
84,0.18304331781290728,-0.09004468342780103,0.1761340586344401
85,0.1953124226031293,-0.12735642644504552,0.1761340586344401
86,0.05773232069706145,-0.12735642644504552,0.1655145263671875
87,0.055598690309476846,-0.17269881850578495,0.1655145263671875
88,-0.05879371198905858,-0.17269881850578495,0.1332319132486979
89,-0.06820565909856896,-0.1880013278146362,0.1332319132486979
90,-0.07546113827946341,-0.1880013278146362,0.1332319132486979
91,-0.14615764970550554,-0.1826911903429782,0.11392283121744792
92,-0.14955106340137395,-0.1826911903429782,0.11392283121744792
93,-0.20373970704449837,-0.1826911903429782,0.0919922129313151
94,-0.20648142570805997,-0.17857367118458578,0.0919922129313151
95,-0.22009281104467376,-0.17857367118458578,0.06992340087890625
96,-0.22567762099145494,-0.17945924684228887,0.06992340087890625
97,-0.23418406270505726,-0.17945924684228887,0.06992340087890625
98,-0.2265460933504534,-0.18597216383028803,0.059893773396809895
99,-0.24287761012576484,-0.18597216383028803,0.059893773396809895
100,-0.25772727698377007,-0.18597216383028803,0.059893773396809895
101,-0.2147753324520186,-0.16385231435290715,0.023598429361979166
102,-0.23273413265783907,-0.16385231435290715,0.023598429361979166
103,-0.1650565701478982,-0.14166091820278814,0.04099507649739583
104,-0.17886501197674906,-0.14166091820278814,0.04099507649739583
105,-0.12241750508623038,-0.1230890140556482,0.03249755859375
106,-0.1354231987944348,-0.1230890140556482,0.03249755859375
107,-0.0585983818489471,-0.09805221817457532,0.023966776529947918
108,-0.0585983818489471,-0.09805221817457532,0.023966776529947918
109,-0.0585983818489471,-0.09805221817457532,0.023966776529947918
110,-0.0585983818489471,-0.09805221817457532,0.023966776529947918
111,-0.07192675805240704,-0.09805221817457532,0.023966776529947918
112,-0.08799716169860225,-0.09805221817457532,0.023966776529947918
113,-0.01094970101017143,-0.09805221817457532,0.04308369954427083
114,-0.035702688018165035,-0.06898770091183004,0.04308369954427083
115,-0.041986881285786114,-0.06898770091183004,0.04308369954427083
116,0.06572151442913592,-0.03550971298329064,0.05736307779947917
117,0.057417186236796626,-0.03550971298329064,0.05736307779947917
118,0.04291644638065194,-0.03550971298329064,0.05736307779947917
119,0.01474296287188783,-0.03550971298329064,0.05736307779947917
120,0.08435593399243373,-0.01372509829062829,0.039757486979166666
121,0.058617274304005644,-0.01372509829062829,0.039757486979166666
122,0.04481628753880415,-0.01372509829062829,0.039757486979166666
123,0.1007411409076361,0.022790121786694373,0.041824747721354166
124,0.09079252802162946,0.022790121786694373,0.041824747721354166
125,0.07195293827105845,0.06988195461573499,0.011157735188802084
126,0.06041000639782123,0.06988195461573499,0.011157735188802084
127,0.02247439707313027,0.11931562478710456,0.013082478841145833
128,-0.004586425310733504,0.11931562478710456,0.013082478841145833
129,-0.06615062276749221,0.11931562478710456,-0.0188726806640625
130,-0.11683431650172432,0.162587944310427,-0.0188726806640625
131,-0.10827604975378737,0.162587944310427,-0.005810648600260417
132,-0.1737139924737323,0.20713148587267494,-0.005810648600260417
133,-0.21961256107026642,0.20713148587267494,-0.005810648600260417
134,-0.20485596235353168,0.2458394000516868,-0.02079864501953125
135,-0.24920575364377395,0.2458394000516868,-0.02079864501953125
136,-0.15135730204069614,0.2458394000516868,-0.0374871826171875
137,-0.17762449779123435,0.28329784141724934,-0.0374871826171875
138,-0.042907157605532355,0.28329784141724934,-0.026522725423177084
139,-0.037961470237851215,0.3149884818368931,-0.026522725423177084
140,-0.023835600447278987,0.3149884818368931,-0.026522725423177084
141,0.11647636552873511,0.3211449158200108,-0.009088541666666667
142,0.14599479058764372,0.3211449158200108,-0.009088541666666667
143,0.2414667988533886,0.337231124974372,-0.02153564453125
144,0.2837244456303325,0.337231124974372,-0.02153564453125
145,0.34366896797187646,0.3507808767998841,-0.0037990315755208333
146,0.39291881707599374,0.3507808767998841,-0.0037990315755208333
147,0.4409470010695841,0.3507808767998841,-0.0037990315755208333
148,0.3778080047063882,0.35224394491516464,-0.004466552734375
149,0.2741315173367236,0.35224394491516464,-0.0233551025390625
150,0.28008945529575935,0.35628534283579505,-0.0233551025390625
151,0.2795601731508446,0.35628534283579505,-0.0233551025390625
152,0.18853475914765697,0.3704528195065493,-0.00174591064453125
153,0.18479433807853946,0.3704528195065493,-0.00174591064453125
154,0.14165102259091011,0.3687790358876477,-0.026830240885416665
155,0.14041827373490323,0.3687790358876477,-0.026830240885416665
156,0.09062078787200736,0.3687790358876477,-0.006477864583333334
157,0.09010380545206421,0.3797397107287215,-0.006477864583333334
158,0.01856641838635775,0.3797397107287215,-0.037908528645833335
159,0.01990635397656667,0.38315121936247487,-0.037908528645833335
160,0.022914446759230395,0.38315121936247487,-0.037908528645833335
161,-0.027568439459074338,0.3725513872253894,-0.016399943033854166
162,-0.024977267384559118,0.3725513872253894,-0.016399943033854166
163,-0.08536840597140809,0.38464960647485036,-0.0265924072265625
164,-0.0837080462673065,0.38464960647485036,-0.0265924072265625
165,-0.0983376501178089,0.3662767642419307,-0.03971211751302083
166,-0.10053335228771666,0.3662767642419307,-0.03971211751302083
167,-0.06973414219942975,0.3662767642419307,-0.019269002278645832
168,-0.07086098682440621,0.35924121308834356,-0.019269002278645832
169,-0.00554664078948693,0.35924121308834356,-0.046041768391927085
170,-0.0032799407937366127,0.34863321087739374,-0.046041768391927085
171,0.0007003730821808764,0.34863321087739374,-0.046041768391927085
172,0.09531068822352193,0.3194070896019776,-0.011825764973958333
173,0.10503498044338558,0.3194070896019776,-0.011825764973958333
174,0.1739118412993316,0.3194070896019776,-0.04051544189453125
175,0.18573138590604196,0.28675755355676347,-0.04051544189453125
176,0.20005472202487146,0.28675755355676347,-0.04051544189453125
177,0.2142446878126369,0.2642704509839886,-0.0044614664713541665
178,0.2296640750742884,0.2642704509839886,-0.0044614664713541665
179,0.17973573050206698,0.23600817494229598,-0.0242254638671875
180,0.19434778538636213,0.23600817494229598,-0.0242254638671875
181,0.08374757870061732,0.23600817494229598,0.0029852294921875
182,0.09284183549317175,0.2044777596915448,0.0029852294921875
183,0.09826114561028684,0.2044777596915448,0.0029852294921875
184,0.004726394858621902,0.16948698626303704,-0.004278666178385417
185,-0.08602400646981001,0.16948698626303704,-0.017950439453125
186,-0.07550200764048848,0.14100472054823077,-0.017950439453125
187,-0.06058895330475977,0.14100472054823077,-0.017950439453125
188,-0.12648803082516136,0.10767007442934906,0.00767608642578125
