episode,env_step,train_step,ver_reward(avg100env),fwd_reward(avg100env),lat_reward(avg100env),ver_reward(episode),fwd_reward(episode),lat_reward(episode)
1,7200,3118,-0.1475,-2.5579,-0.0193,-0.4530,-1.4749,-0.1602
1,7300,3143,-0.0369,-0.8306,-0.0174,-0.4473,-1.4661,-0.1583
1,7400,3175,-0.4669,-2.3619,-0.0357,-0.4475,-1.4782,-0.1566
1,7500,3211,-0.7112,-2.6123,-0.0580,-0.4510,-1.4933,-0.1553
1,7600,3237,-0.1683,-1.8405,-0.0367,-0.4473,-1.4979,-0.1537
1,7700,3265,-0.3791,-2.3913,-0.0387,-0.4464,-1.5095,-0.1522
1,7800,3292,-0.3394,-2.5154,-0.0179,-0.4451,-1.5224,-0.1505
1,7900,3381,-0.1375,-1.1019,-0.1327,-0.4412,-1.5170,-0.1503
1,8000,3457,-0.1561,-0.5190,-0.1569,-0.4376,-1.5046,-0.1504
1,8100,3534,-0.0495,-1.0537,-0.0598,-0.4328,-1.4990,-0.1492
1,8200,3745,-0.2676,-1.3247,-0.2602,-0.4308,-1.4969,-0.1506
1,8300,3819,-0.1215,-1.1213,-0.2174,-0.4271,-1.4923,-0.1514
1,8400,3851,-0.0418,-1.2953,-0.1500,-0.4225,-1.4900,-0.1514
1,8500,3932,-0.0708,-1.2657,-0.1381,-0.4183,-1.4874,-0.1512
1,8600,3957,-0.0394,-0.1391,-0.0273,-0.4139,-1.4717,-0.1498
1,8700,3988,-0.0595,-1.4966,-0.1066,-0.4099,-1.4720,-0.1493
1,8800,4070,-0.3829,-0.2152,-0.0328,-0.4096,-1.4577,-0.1480
1,8900,4095,-0.0670,-0.4476,-0.0276,-0.4057,-1.4463,-0.1466
1,9000,4120,-0.0210,-1.5447,-0.0172,-0.4014,-1.4474,-0.1452
1,9100,4183,-0.1567,-0.9785,-0.0565,-0.3987,-1.4423,-0.1442
1,9200,4222,-0.0553,-0.8742,-0.2294,-0.3950,-1.4361,-0.1451
1,9300,4246,-0.0580,-0.2149,-0.0195,-0.3914,-1.4230,-0.1438
1,9400,4314,-0.0601,-0.5971,-0.0552,-0.3879,-1.4142,-0.1428
1,9500,4345,-0.1292,-0.6675,-0.0391,-0.3851,-1.4063,-0.1417
1,9600,4375,-0.4349,-1.7375,-0.0438,-0.3857,-1.4098,-0.1407
1,9700,4402,-0.2425,-2.0578,-0.0652,-0.3842,-1.4164,-0.1399
1,9800,4474,-0.1323,-0.7384,-0.0579,-0.3816,-1.4095,-0.1391
1,9900,4504,-0.0356,-1.2322,-0.1687,-0.3781,-1.4077,-0.1394
1,10000,4542,-0.0411,-1.0446,-0.1130,-0.3747,-1.4041,-0.1391
1,10100,4606,-0.0705,-1.7457,-0.0897,-0.3717,-1.4075,-0.1387
1,10200,4675,-0.1923,-1.2021,-0.1584,-0.3700,-1.4055,-0.1388
1,10300,4755,-0.0583,-1.6502,-0.0339,-0.3669,-1.4079,-0.1378
1,10400,4785,-0.1475,-0.8312,-0.0533,-0.3648,-1.4023,-0.1370
1,10500,4815,-0.2085,-1.2508,-0.0415,-0.3633,-1.4009,-0.1361
1,10600,4848,-0.2567,-1.2259,-0.0611,-0.3623,-1.3992,-0.1354
1,10700,4874,-0.0999,-1.1055,-0.0207,-0.3599,-1.3965,-0.1343
1,10800,4903,-0.2533,-1.1924,-0.0500,-0.3589,-1.3946,-0.1335
1,10900,4968,-0.0566,-0.8128,-0.0521,-0.3561,-1.3892,-0.1328
1,11000,4993,-0.0298,-1.6129,-0.0401,-0.3532,-1.3913,-0.1320
1,11100,5018,-0.0375,-1.5935,-0.0235,-0.3503,-1.3931,-0.1310
1,11200,5043,-0.0348,-1.5864,-0.0318,-0.3475,-1.3948,-0.1301
1,11300,5073,-0.0260,-1.8866,-0.1065,-0.3446,-1.3992,-0.1299
1,11400,5098,-0.0429,-0.6775,-0.0407,-0.3420,-1.3928,-0.1291
1,11500,5123,-0.0295,-1.6257,-0.0220,-0.3393,-1.3949,-0.1282
1,11600,5148,-0.0296,-1.2334,-0.0324,-0.3366,-1.3935,-0.1273
1,11700,5173,-0.0339,-1.1991,-0.0285,-0.3340,-1.3918,-0.1265
1,11800,5198,-0.0328,-1.5644,-0.0262,-0.3315,-1.3933,-0.1256
1,11900,5223,-0.0389,-1.2006,-0.0173,-0.3290,-1.3917,-0.1247
1,12000,5248,-0.0310,-0.0965,-0.0102,-0.3265,-1.3809,-0.1238
1,12100,5273,-0.0555,-0.3441,-0.0431,-0.3243,-1.3723,-0.1231
1,12200,5298,-0.0517,-0.4995,-0.0268,-0.3221,-1.3651,-0.1223
1,12300,5323,-0.0487,-0.2258,-0.0279,-0.3198,-1.3559,-0.1216
1,12400,5348,-0.0742,-1.6456,-0.0508,-0.3179,-1.3582,-0.1210
1,12500,5373,-0.0442,-1.6660,-0.0228,-0.3157,-1.3607,-0.1202
1,12600,5398,-0.0575,-1.6914,-0.0371,-0.3136,-1.3633,-0.1195
1,12700,5467,-0.0420,-0.7258,-0.0237,-0.3115,-1.3583,-0.1188
1,12800,5492,-0.0291,-0.6876,-0.0188,-0.3093,-1.3530,-0.1180
1,12900,5570,-0.1056,-1.1209,-0.0320,-0.3077,-1.3512,-0.1173
1,13000,5595,-0.0335,-0.1197,-0.0112,-0.3056,-1.3418,-0.1165
1,13100,5620,-0.0463,-0.1446,-0.0122,-0.3036,-1.3326,-0.1157
1,13200,5645,-0.0608,-1.3324,-0.0215,-0.3018,-1.3326,-0.1150
1,13300,5670,-0.0484,-0.9468,-0.0194,-0.2999,-1.3297,-0.1143
1,13400,5744,-0.0536,-1.3084,-0.1062,-0.2980,-1.3296,-0.1142
1,13500,5769,-0.0292,-0.1745,-0.0305,-0.2960,-1.3210,-0.1136
1,13600,5794,-0.0489,-0.3133,-0.0290,-0.2942,-1.3136,-0.1130
1,13700,5819,-0.0547,-0.8280,-0.0181,-0.2925,-1.3101,-0.1123
1,13800,5844,-0.0313,-1.3198,-0.0155,-0.2906,-1.3101,-0.1116
1,13900,5869,-0.0562,-0.8193,-0.0303,-0.2889,-1.3066,-0.1110
1,14000,5894,-0.0486,-1.2593,-0.0319,-0.2872,-1.3063,-0.1104
1,14100,5919,-0.0263,-1.1708,-0.0358,-0.2853,-1.3053,-0.1099
1,14200,5944,-0.0366,-1.2160,-0.0270,-0.2836,-1.3047,-0.1093
1,14300,5974,-0.0365,-1.3118,-0.0256,-0.2818,-1.3047,-0.1087
1,14400,5999,-0.0264,-0.3895,-0.0081,-0.2801,-1.2984,-0.1080
