episode,env_step,train_step,ver_reward(avg100env),fwd_reward(avg100env),lat_reward(avg100env),ver_reward(episode),fwd_reward(episode),lat_reward(episode)
1,100,0,-0.9387,-0.4524,-0.1891,-0.9387,-0.4524,-0.1891
1,200,62,-0.4084,-0.2998,-0.6144,-0.6723,-0.3757,-0.4029
1,300,125,-0.2083,-1.3122,-0.2834,-0.5171,-0.6889,-0.3629
1,400,190,-0.9531,-0.2938,-0.1920,-0.6264,-0.5899,-0.3201
1,500,260,-0.7303,-0.0667,-0.3174,-0.6472,-0.4851,-0.3195
1,600,324,-0.4023,-0.3953,-0.4912,-0.6063,-0.4701,-0.3482
1,700,391,-0.3072,-0.0591,-0.3219,-0.5635,-0.4113,-0.3444
1,800,417,-0.5486,-0.2264,-0.2966,-0.5616,-0.3881,-0.3385
1,900,449,-0.3228,-0.4188,-0.5541,-0.5351,-0.3916,-0.3624
1,1000,489,-0.1853,-0.4250,-0.9251,-0.5001,-0.3949,-0.4188
1,1100,569,-0.1758,-1.0493,-0.5967,-0.4706,-0.4545,-0.4350
1,1200,643,-0.4109,-1.4237,-0.4089,-0.4656,-0.5353,-0.4328
1,1300,713,-0.5245,-0.5236,-0.5616,-0.4701,-0.5344,-0.4427
1,1400,825,-0.8441,-0.8501,-0.4264,-0.4968,-0.5570,-0.4415
1,1500,981,-0.1449,-1.1270,-0.4148,-0.4734,-0.5950,-0.4398
1,1600,1095,-0.2366,-1.3743,-0.4886,-0.4586,-0.6437,-0.4428
1,1700,1396,-0.6254,-1.6626,-0.5072,-0.4684,-0.7037,-0.4466
1,1800,1562,-0.4639,-1.6791,-0.5764,-0.4681,-0.7579,-0.4538
1,1900,1628,-0.2521,-1.0467,-0.5362,-0.4568,-0.7731,-0.4582
1,2000,1653,-0.1382,-1.1019,-0.5021,-0.4408,-0.7896,-0.4604
1,2100,1678,-0.4416,-1.4114,-0.3444,-0.4409,-0.8192,-0.4548
1,2200,1703,-0.8125,-1.2556,-0.4620,-0.4578,-0.8390,-0.4552
1,2300,1728,-1.0056,-1.2960,-0.6277,-0.4816,-0.8589,-0.4627
1,2400,1806,-1.4366,-1.3954,-0.5513,-0.5214,-0.8813,-0.4664
1,2500,1835,-0.7424,-1.4906,-0.7459,-0.5302,-0.9057,-0.4775
1,2600,1860,-0.2478,-1.2819,-0.5105,-0.5194,-0.9201,-0.4788
1,2700,1885,-0.5223,-0.9624,-0.4003,-0.5195,-0.9217,-0.4759
1,2800,1959,-1.0001,-0.9773,-0.3295,-0.5366,-0.9237,-0.4707
1,2900,1983,-0.0852,-0.9793,-0.2717,-0.5211,-0.9256,-0.4638
1,3000,2009,-0.4517,-0.9313,-0.2636,-0.5188,-0.9258,-0.4571
1,3100,2034,-1.0418,-0.2462,-0.4488,-0.5356,-0.9039,-0.4569
1,3200,2110,-1.1268,-0.9876,-0.1818,-0.5541,-0.9065,-0.4483
1,3300,2136,-0.8014,-1.4229,-0.1053,-0.5616,-0.9221,-0.4379
1,3400,2161,-0.1486,-1.1814,-0.0602,-0.5495,-0.9298,-0.4268
1,3500,2186,-0.1811,-1.0435,-0.0218,-0.5389,-0.9330,-0.4152
1,3600,2211,-0.1649,-0.7228,-0.0750,-0.5285,-0.9272,-0.4057
1,3700,2237,-0.5094,-0.8327,-0.1329,-0.5280,-0.9246,-0.3984
1,3800,2262,-0.1890,-0.9955,-0.3903,-0.5191,-0.9265,-0.3981
1,3900,2287,-0.0405,-0.9556,-0.5333,-0.5068,-0.9272,-0.4016
1,4000,2312,-0.1032,-1.2447,-0.4728,-0.4967,-0.9352,-0.4034
1,4100,2337,-0.4102,-1.1923,-0.3006,-0.4946,-0.9414,-0.4009
1,4200,2362,-0.6193,-1.4255,-0.2030,-0.4976,-0.9530,-0.3962
1,4300,2387,-0.7300,-0.9535,-0.3206,-0.5030,-0.9530,-0.3944
1,4400,2412,-0.4898,-0.7735,-0.1686,-0.5027,-0.9489,-0.3893
1,4500,2438,-0.5883,-0.7176,-0.1635,-0.5046,-0.9438,-0.3843
1,4600,2463,-0.9088,-0.6469,-0.1294,-0.5134,-0.9373,-0.3787
1,4700,2491,-0.6204,-1.0451,-0.0885,-0.5157,-0.9396,-0.3725
1,4800,2516,-0.2196,-1.0613,-0.1867,-0.5095,-0.9421,-0.3687
1,4900,2542,-0.1397,-0.6238,-0.2297,-0.5019,-0.9356,-0.3658
1,5000,2566,-0.2499,-0.8371,-0.1993,-0.4969,-0.9337,-0.3625
1,5100,2591,-0.3151,-0.7976,-0.2098,-0.4933,-0.9310,-0.3595
1,5200,2616,-0.2069,-0.8737,-0.1338,-0.4878,-0.9299,-0.3552
1,5300,2641,-0.1891,-1.1569,-0.1906,-0.4822,-0.9342,-0.3521
1,5400,2666,-0.7577,-0.6580,-0.1797,-0.4873,-0.9291,-0.3489
1,5500,2691,-0.1164,-0.9009,-0.1298,-0.4806,-0.9286,-0.3449
1,5600,2716,-0.0697,-0.7135,-0.1250,-0.4732,-0.9247,-0.3410
1,5700,2742,-0.0671,-0.8096,-0.1407,-0.4661,-0.9227,-0.3374
1,5800,2766,-0.1646,-0.7784,-0.1307,-0.4609,-0.9202,-0.3339
1,5900,2791,-0.5701,-0.7957,-0.1840,-0.4627,-0.9181,-0.3313
1,6000,2816,-1.0825,-0.2264,-0.3495,-0.4731,-0.9066,-0.3316
1,6100,2841,-0.4611,-0.6460,-0.2103,-0.4729,-0.9023,-0.3296
1,6200,2867,-0.4576,-0.9805,-0.1785,-0.4726,-0.9036,-0.3272
1,6300,2905,-0.3048,-1.2487,-0.5073,-0.4700,-0.9090,-0.3301
1,6400,2980,-0.1643,-1.2871,-0.3222,-0.4652,-0.9149,-0.3299
