episode,env_step,train_step,ver_reward(avg100env),fwd_reward(avg100env),lat_reward(avg100env),ver_reward(episode),fwd_reward(episode),lat_reward(episode)
1,7200,3003,-0.1458,-1.2808,-0.0923,-0.4788,-0.9510,-0.3232
1,7300,3032,-0.1673,-1.5150,-0.0631,-0.4745,-0.9587,-0.3197
1,7400,3059,-0.1579,-1.5008,-0.0681,-0.4702,-0.9660,-0.3163
1,7500,3087,-0.2641,-1.7223,-0.1103,-0.4675,-0.9761,-0.3135
1,7600,3113,-0.1181,-1.7312,-0.1138,-0.4629,-0.9861,-0.3109
1,7700,3139,-0.1674,-1.5118,-0.0831,-0.4591,-0.9929,-0.3079
1,7800,3168,-0.1498,-1.6977,-0.0234,-0.4551,-1.0019,-0.3043
1,7900,3194,-0.1809,-1.7319,-0.0397,-0.4516,-1.0112,-0.3009
1,8000,3219,-0.0990,-1.5995,-0.0366,-0.4472,-1.0185,-0.2976
1,8100,3244,-0.0826,-1.1168,-0.0286,-0.4427,-1.0197,-0.2943
1,8200,3269,-0.0519,-1.1429,-0.0312,-0.4380,-1.0212,-0.2911
1,8300,3294,-0.0984,-1.2414,-0.0736,-0.4339,-1.0239,-0.2885
1,8400,3319,-0.0507,-1.1367,-0.0704,-0.4293,-1.0252,-0.2859
1,8500,3344,-0.1098,-1.0172,-0.0336,-0.4255,-1.0251,-0.2829
1,8600,3369,-0.0764,-0.8883,-0.0095,-0.4215,-1.0235,-0.2797
1,8700,3394,-0.1029,-1.1982,-0.0588,-0.4178,-1.0256,-0.2772
1,8800,3419,-0.1527,-0.9180,-0.0896,-0.4148,-1.0243,-0.2751
1,8900,3444,-0.0635,-1.2100,-0.0880,-0.4109,-1.0264,-0.2730
1,9000,3469,-0.0652,-0.9614,-0.1007,-0.4070,-1.0257,-0.2710
1,9100,3494,-0.0267,-1.1985,-0.1244,-0.4028,-1.0276,-0.2694
1,9200,3519,-0.0742,-0.8418,-0.0651,-0.3993,-1.0256,-0.2672
1,9300,3544,-0.2001,-0.7423,-0.0867,-0.3971,-1.0225,-0.2653
1,9400,3569,-0.1711,-1.0671,-0.0913,-0.3947,-1.0230,-0.2634
1,9500,3594,-0.0942,-1.1820,-0.0871,-0.3916,-1.0247,-0.2616
1,9600,3619,-0.1981,-1.0291,-0.0900,-0.3895,-1.0247,-0.2598
1,9700,3643,-0.2485,-1.3534,-0.0723,-0.3881,-1.0281,-0.2578
1,9800,3669,-0.3213,-1.5102,-0.0479,-0.3874,-1.0330,-0.2557
1,9900,3694,-0.0590,-1.5561,-0.0343,-0.3841,-1.0383,-0.2535
1,10000,3719,-0.0615,-1.3432,-0.0703,-0.3809,-1.0414,-0.2516
1,10100,3744,-0.0770,-1.1156,-0.1099,-0.3778,-1.0421,-0.2502
1,10200,3768,-0.0680,-1.2427,-0.1066,-0.3748,-1.0441,-0.2488
1,10300,3794,-0.0543,-1.0853,-0.1256,-0.3717,-1.0445,-0.2476
1,10400,3819,-0.0253,-0.9055,-0.1418,-0.3684,-1.0431,-0.2466
1,10500,3844,-0.0540,-0.7963,-0.1277,-0.3654,-1.0408,-0.2455
1,10600,3869,-0.1504,-0.8031,-0.1259,-0.3633,-1.0385,-0.2443
1,10700,3894,-0.0424,-0.6562,-0.1014,-0.3603,-1.0350,-0.2430
1,10800,3919,-0.0534,-0.7327,-0.0669,-0.3575,-1.0322,-0.2414
1,10900,3943,-0.0561,-0.6168,-0.0732,-0.3547,-1.0284,-0.2398
1,11000,3969,-0.1094,-0.6638,-0.0643,-0.3525,-1.0250,-0.2382
1,11100,3994,-0.0302,-0.4734,-0.1026,-0.3496,-1.0201,-0.2370
1,11200,4019,-0.0505,-0.0558,-0.1237,-0.3469,-1.0115,-0.2360
1,11300,4044,-0.0824,-0.0831,-0.0972,-0.3446,-1.0032,-0.2348
1,11400,4069,-0.0332,-0.0390,-0.1169,-0.3419,-0.9948,-0.2337
1,11500,4094,-0.0437,-0.1807,-0.0998,-0.3393,-0.9877,-0.2326
1,11600,4119,-0.0608,-0.1539,-0.1124,-0.3369,-0.9805,-0.2315
1,11700,4144,-0.0385,-0.2213,-0.1015,-0.3343,-0.9740,-0.2304
1,11800,4169,-0.0392,-0.8150,-0.0316,-0.3318,-0.9727,-0.2287
1,11900,4194,-0.1310,-1.1705,-0.0654,-0.3301,-0.9743,-0.2274
1,12000,4219,-0.0405,-1.1738,-0.0333,-0.3277,-0.9760,-0.2258
1,12100,4244,-0.0694,-0.8530,-0.0172,-0.3256,-0.9750,-0.2240
1,12200,4269,-0.0598,-0.7912,-0.0518,-0.3234,-0.9735,-0.2226
1,12300,4293,-0.0388,-0.7442,-0.0782,-0.3211,-0.9716,-0.2214
1,12400,4319,-0.0378,-0.4071,-0.1198,-0.3188,-0.9671,-0.2206
1,12500,4344,-0.0467,-0.1427,-0.1371,-0.3166,-0.9605,-0.2200
1,12600,4368,-0.0503,-0.5227,-0.0880,-0.3145,-0.9570,-0.2189
1,12700,4394,-0.0248,-0.6939,-0.0960,-0.3122,-0.9549,-0.2179
1,12800,4419,-0.0546,-0.3964,-0.1125,-0.3102,-0.9506,-0.2171
1,12900,4444,-0.0454,-0.5736,-0.0611,-0.3082,-0.9476,-0.2159
1,13000,4469,-0.0348,-0.5704,-0.0362,-0.3061,-0.9447,-0.2145
1,13100,4494,-0.0512,-0.3789,-0.0983,-0.3041,-0.9404,-0.2136
1,13200,4519,-0.0467,-0.5119,-0.0886,-0.3022,-0.9372,-0.2127
1,13300,4544,-0.0144,-0.8663,-0.0954,-0.3000,-0.9366,-0.2118
